Class,_RMSenergy_Mean,_Lowenergy_Mean,_Fluctuation_Mean,_Tempo_Mean,_MFCC_Mean_1,_MFCC_Mean_2,_MFCC_Mean_3,_MFCC_Mean_4,_MFCC_Mean_5,_MFCC_Mean_6,_MFCC_Mean_7,_MFCC_Mean_8,_MFCC_Mean_9,_MFCC_Mean_10,_MFCC_Mean_11,_MFCC_Mean_12,_MFCC_Mean_13,_Roughness_Mean,_Roughness_Slope
happy,0.228,0.567,6.478,114.844,1.592,0.159,0.321,-0.162,0.313,0.123,-0.149,-0.015,0.145,0.228,0.2,0.048,0.023,2126.908,0.068
happy,0.225,0.523,5.862,104.126,2.61,-0.033,0.221,-0.158,0.194,0.184,-0.137,-0.007,-0.144,-0.048,0.04,-0.082,-0.066,1604.2,0.189
happy,0.122,0.527,7.185,134.473,1.709,-0.579,0.443,-0.165,-0.054,0.019,-0.114,0.323,0.27,0.039,0.026,-0.108,0.064,665.377,0.183
happy,0.07,0.703,7.986,105.143,2.113,0.284,0.186,0.069,0.31,0.158,0.169,-0.074,-0.289,-0.209,0.116,0.155,0.005,44.168,-0.07
happy,0.2,0.592,7.152,100.007,1.657,-0.197,0.019,0.132,-0.064,0.066,0.174,-0.017,0.125,0.048,0.04,-0.031,0.058,613.673,0.105
happy,0.143,0.576,6.187,119.189,2.152,0.262,-0.009,0.254,0.541,-0.088,0.32,0.165,0.098,-0.059,0.001,0.012,-0.136,242.328,-0.06
happy,0.077,0.552,7.346,189.398,2.332,0.214,0.324,0.19,0.076,0.083,0.183,0.062,0.029,0.061,0.062,-0.007,-0.002,226.424,0.064
happy,0.183,0.573,8.07,105.21,2.238,-0.168,0.409,0.187,0.288,0.193,0.013,0.078,-0.137,0.025,-0.016,-0.047,-0.019,670.481,-0.048
happy,0.231,0.554,5.705,138.937,2.524,0.467,0.288,-0.257,0.146,-0.003,-0.174,-0.07,-0.015,0.115,0.17,-0.015,0.081,1127.011,0.269
happy,0.165,0.534,5.742,139.218,1.518,-0.281,0.59,-0.112,0.476,-0.43,0.073,0.252,-0.055,0.114,-0.014,0.188,-0.034,963.344,-0.044
happy,0.189,0.574,8.899,93.439,3.008,-0.364,0.174,-0.348,0.468,-0.238,0.049,0.269,0.211,0.174,-0.089,-0.059,-0.058,1072.542,0.081
happy,0.158,0.531,9.462,108.272,2.166,-0.336,0.82,-0.279,0.194,-0.151,-0.423,0.277,-0.025,0.091,0.29,0.314,0.112,572.338,-0.119
happy,0.265,0.547,7.103,112.013,2.121,0.23,0.234,0.173,0.072,0.004,0.051,0.047,-0.054,0.02,0.23,0.131,0.065,1540.367,0.04
happy,0.237,0.473,7.17,144.314,2.05,-0.162,0.32,-0.002,0.008,-0.051,-0.066,0.006,-0.013,-0.051,-0.034,-0.031,-0.113,2234.113,-0.139
happy,0.299,0.559,8.023,109.1,1.724,-0.278,0.207,-0.125,0.01,-0.411,-0.141,-0.055,-0.035,-0.251,-0.151,0.066,0.277,1704.497,0.005
happy,0.12,0.526,16.531,127.988,2.29,-0.638,0.325,-0.001,0.243,0.041,-0.123,-0.129,-0.133,0.154,-0.02,0.039,0.043,464.729,0.155
happy,0.143,0.583,7.55,98.375,1.758,-0.024,0.224,-0.114,0.272,-0.123,-0.178,-0.06,-0.217,0.147,0.218,0.21,0.156,957.68,0.174
happy,0.128,0.483,7.538,86.957,1.672,0.242,0.317,0.212,0.2,0.228,0.15,0.041,0.147,0.108,0.067,0.014,-0.045,547.723,-0.141
happy,0.152,0.58,8.058,155.312,1.666,0.069,0.165,-0.374,0.356,-0.213,0.017,0.37,0.04,-0.109,-0.204,-0.173,-0.024,517.942,-0.078
happy,0.102,0.613,7.041,77.958,1.525,-0.51,0.249,-0.287,0.087,-0.196,-0.22,0.055,-0.056,0.058,0.019,-0.025,-0.034,420.395,0.367
happy,0.161,0.589,7.189,167.415,2.763,0.237,0.626,0.372,0.051,-0.231,-0.261,0.094,-0.137,-0.167,0.002,0.22,0.148,476.697,0.001
happy,0.169,0.518,4.918,101.964,1.479,-0.18,0.5,0.03,0.257,-0.05,0.073,0.072,-0.041,-0.199,0.139,0.068,0.016,1436.733,0.03
happy,0.082,0.602,9.634,133.372,1.731,0.289,-0.099,-0.308,0.011,-0.016,0.07,0.019,0.002,0.076,0.164,0.053,0.077,166.095,0.003
happy,0.104,0.552,6.996,129.252,2.234,-0.119,0.154,-0.299,0.148,0.115,0.183,0.143,-0.088,0.092,-0.048,-0.032,-0.178,325.112,0.314
happy,0.051,0.605,6.38,158.544,1.171,-0.219,0.124,-0.075,0.247,-0.033,-0.075,-0.037,0.104,-0.02,-0.07,-0.214,-0.174,91.937,0.253
happy,0.103,0.506,7.482,142.435,2.402,-0.768,0.327,0.019,0.235,-0.054,-0.265,-0.138,-0.111,0.243,0.134,0.079,0.079,338.026,0.126
happy,0.117,0.546,16.487,104.651,2.438,-0.684,0.496,-0.11,-0.019,-0.157,-0.009,0.205,0.191,-0.121,-0.233,0.023,0.116,386.45,-0.006
happy,0.117,0.546,16.487,104.651,2.438,-0.684,0.496,-0.11,-0.019,-0.157,-0.009,0.205,0.191,-0.121,-0.233,0.023,0.116,386.45,-0.006
happy,0.133,0.571,6.358,159.012,2.31,-0.728,0.431,-0.055,0.172,-0.122,-0.133,0.022,0.273,0.136,-0.07,-0.07,-0.057,365.785,0.03
happy,0.143,0.505,6.927,58.131,1.964,-0.512,0.378,0.051,0.047,-0.232,0.056,0.116,0.04,0.045,0.021,-0.217,-0.214,662.67,0.06
happy,0.143,0.505,6.927,58.131,1.964,-0.512,0.378,0.051,0.047,-0.232,0.056,0.116,0.04,0.045,0.021,-0.217,-0.214,662.67,0.06
happy,0.127,0.546,17.793,101.164,2.324,-0.783,0.476,0.249,0.16,-0.062,-0.03,-0.107,-0.122,0.049,0.122,0.173,0.096,487.81,0.255
happy,0.124,0.574,7.323,100.061,2.182,0.244,0.374,-0.113,0.133,0.134,0.08,0.139,0.175,0.077,0.19,0.157,0.047,445.17,0.069
happy,0.07,0.591,6.078,142.001,1.242,0.142,0.006,0.101,0.034,0.211,0.207,-0.118,-0.012,0.091,0.064,0.138,0.172,227.615,0.114
happy,0.147,0.532,6.881,129.671,1.89,-0.554,0.458,0.049,0.087,-0.081,0,-0.186,-0.173,0.025,0.097,0.172,0.205,761.277,-0.03
happy,0.131,0.542,7.565,168.861,2.488,-0.023,0.512,0.043,0.247,-0.041,-0.177,-0.043,-0.148,0.108,0.018,0.012,-0.051,347.14,-0.031
happy,0.22,0.637,7.622,187.45,1.961,0.332,0.374,0.16,-0.021,0.257,0.16,-0.074,-0.028,0.044,0.068,0.05,0.128,936.505,0.077
happy,0.153,0.585,8.114,120.08,1.188,-2.033,0.72,0.094,-0.145,-0.126,0.17,-0.211,0.184,-0.085,0.104,0.319,0.092,707.551,-0.004
sad,0.203,0.467,10.08,108.399,2.653,0.961,0.815,-0.016,0.153,0.027,0.03,0.135,0.149,0.117,0.037,0.054,-0.021,668.176,-0.184
sad,0.173,0.562,7.058,102.591,2.174,0.512,0.176,0.453,-0.21,-0.171,0.266,-0.288,-0.133,0.124,-0.018,0.018,-0.056,841.757,0.163
sad,0.085,0.58,6.134,194.37,5.996,-0.501,0.25,-0.34,1.055,0.235,0.298,-0.168,0.206,0.011,0.064,-0.009,0.161,214.023,0.115
sad,0.076,0.594,6.458,168.977,2.894,0.059,0.698,0.159,0.457,0.073,0.381,-0.052,0.133,0.166,0.206,0.081,0.004,141.774,0.066
sad,0.066,0.573,9.697,111.035,4.583,0.903,0.168,-0.042,0.242,0.153,-0.044,-0.226,0.146,0.003,-0.024,0.119,0.106,43.935,0.048
sad,0.129,0.537,7.768,131.301,3.245,0.068,0.445,0.151,0.397,0.417,0.012,0.006,0.092,-0.061,-0.159,-0.049,-0.175,245.993,-0.022
sad,0.071,0.608,7.452,161.547,2.06,0.26,0.058,-0.276,0.224,-0.239,0.435,0.337,0.211,0.464,-0.195,-0.043,-0.051,66.106,-0.022
sad,0.105,0.502,8.985,159.882,1.896,-0.75,0.068,-0.093,-0.091,0.174,0.117,-0.046,-0.283,-0.544,0.262,-0.034,0.151,200.249,0.433
sad,0.061,0.499,6.575,104.679,2.864,-0.386,0.268,-0.012,0.089,0.002,0.338,0.021,0.055,-0.12,-0.045,-0.164,-0.134,91.878,0.584
sad,0.101,0.582,6.039,110.47,1.932,-0.104,0.209,-0.173,0.336,0.022,0.364,-0.003,-0.176,0.009,0.107,-0.174,-0.009,183.021,0.051
sad,0.115,0.568,6.193,133.742,4.521,-0.748,0.359,-0.205,0.073,-0.181,0.065,-0.037,-0.042,0.035,-0.049,0.03,0.034,282.839,-0.332
sad,0.188,0.537,6.337,95.104,1.985,-0.879,0.611,-0.548,-0.145,-0.115,-0.288,-0.063,-0.046,0.366,-0.035,0.035,-0.431,1368.48,0.164
sad,0.127,0.57,7.103,86.642,3.081,-0.898,0.636,-0.455,0.283,-0.086,0.056,-0.004,-0.134,-0.215,-0.059,-0.237,-0.075,329.138,0.094
sad,0.205,0.553,5.976,127.83,2.836,-0.603,0.504,-0.09,0.27,0.066,-0.118,0.089,0.198,-0.119,-0.12,0.14,-0.108,1081.124,0.117
sad,0.186,0.618,6.65,183.023,2.389,0.139,0.49,-0.016,0.108,0.069,0.1,0.152,0.016,-0.086,-0.058,-0.074,0.057,745.346,0.361
sad,0.078,0.53,5.35,164.506,1.665,-0.027,0.342,-0.24,0.11,0.07,0.224,-0.013,-0.044,0.03,-0.107,-0.036,0.057,141.127,0.342
sad,0.1,0.558,6.037,53.032,3.319,-3.484,1.054,-1.636,-0.216,-0.916,-0.105,0.285,-0.468,-0.057,-0.196,0.269,-0.376,306.191,-0.221
sad,0.021,0.652,7.517,160.425,2.006,1.197,0.047,0.333,0.545,-0.243,0.346,-0.092,0.429,0.18,0.096,0.008,0.26,5.659,-0.011
sad,0.061,0.623,8.072,117.641,2.6,-0.558,0.251,0.087,0.031,-0.442,-0.115,-0.124,0.342,0.152,0.31,0.259,-0.011,32.797,0.378
sad,0.085,0.585,6.934,184.297,2.479,0.629,0.413,-0.126,0.142,-0.046,0.237,0.125,0.318,0.149,0.251,0.06,0.081,159,0.137
sad,0.153,0.554,7.169,48.284,2.613,-0.63,0.8,-0.229,-0.358,-0.545,-0.188,-0.377,-0.4,-0.358,-0.062,0.199,0.178,41.648,-0.048
sad,0.222,0.559,6.652,115.371,2.613,-0.265,0.531,0.103,0.114,-0.402,-0.039,-0.014,0.095,0.168,0.226,0,-0.125,1052.604,0.263
sad,0.051,0.556,7.467,176.701,1.877,0.283,0.552,0.191,0.274,0.141,-0.005,0.138,0.23,-0.103,-0.092,-0.188,-0.131,55.388,0.17
sad,0.19,0.516,6.481,109.044,3.194,0.135,0.832,0.012,0.197,0.49,0.185,-0.116,0.067,0.099,-0.173,-0.251,-0.312,842.793,0.103
sad,0.162,0.531,5.705,117.892,3.028,0.313,0.345,-0.021,0.256,-0.078,-0.017,0.137,0.137,0.244,0.031,-0.189,-0.08,667.276,0.175
sad,0.045,0.607,7.843,77.842,2.308,0.955,0.309,-0.765,0.27,0.261,0.4,-0.134,0.004,0.156,-0.081,0.146,0.028,31.318,0.064
sad,0.14,0.546,7.535,109.062,3.039,0.584,0.242,0.341,0.059,-0.049,0.073,-0.079,-0.038,-0.034,0.188,0.009,-0.093,367.68,-0.145
sad,0.211,0.545,7.798,103.229,1.71,-0.529,0.515,-0.308,-0.045,-0.63,-0.156,-0.195,-0.235,-0.408,-0.086,-0.038,0.153,1411.754,-0.075
sad,0.054,0.542,6.488,150.939,2.908,-0.203,0.403,0.035,0.314,0.217,-0.154,0.246,-0.3,0.095,0.16,0.154,-0.033,59.02,-0.026
sad,0.043,0.594,7.232,80.272,2.503,0.474,0.322,-0.313,0.154,-0.068,0.074,-0.004,0.434,0.068,0.166,0.061,0.115,30.51,0.131
sad,0.104,0.622,7.782,76.331,2.242,0.489,0.901,-0.013,0.007,-0.032,0.352,0.091,0.057,0.331,0.088,0.06,-0.017,78.066,0.082
sad,0.081,0.542,5.986,134.724,3.327,-0.644,0.965,-0.125,0.489,0.153,0.203,0.047,0.111,-0.04,-0.144,0.099,0.184,122.432,-0.075
sad,0.01,0.623,9.032,109.959,3.501,-0.497,0.424,-0.234,-0.211,0.074,0.476,0.027,0.226,-0.047,0.022,0.282,0.195,0.941,0.216
sad,0.18,0.555,6.867,161.998,3.966,0.345,0.489,0.418,0.248,0.341,-0.062,-0.321,-0.036,0.147,-0.034,-0.285,-0.229,527.96,-0.127
sad,0.195,0.607,5.965,168.554,2.952,0.497,0.717,-0.114,-0.242,-0.124,0.112,-0.185,-0.002,0.23,0.212,0.213,0.159,872.198,0.129
sad,0.137,0.514,6.139,105.217,2.077,0.205,0.396,-0.305,-0.158,0.075,0.049,-0.011,-0.003,0.007,0.05,0.002,-0.128,595.033,0.007
sad,0.161,0.602,6.609,179.617,3.2,-0.119,0.482,0.213,0.158,0.296,0.018,-0.045,-0.126,-0.311,-0.105,0.046,-0.1,469.713,-0.034
sad,0.065,0.637,8.337,103.871,2.421,0.908,0.638,0.022,0.474,0.15,0.021,0.108,0.258,0.086,0.051,-0.005,-0.004,52.582,0.118
sad,0.087,0.5,7.004,134.23,3.041,-0.036,0.69,0.488,0.341,0.214,0.305,0.37,0.186,-0.107,-0.092,-0.02,0.122,139.744,0.208
sad,0.082,0.503,5.449,168.159,1.599,-0.075,0.097,0.214,-0.013,0.196,0.238,0.144,0.188,-0.028,-0.092,-0.137,-0.134,255.83,0.175
sad,0.189,0.549,5.691,157.216,3.311,-0.424,0.515,0.033,0.218,-0.025,0.229,0.191,0.163,0,0.072,-0.257,-0.185,781.446,-0.095
sad,0.013,0.606,8.1,66.23,3.092,0.15,-0.155,0.071,0.056,0.051,0.09,-0.054,-0.077,-0.163,-0.028,-0.093,-0.176,1.338,0.137
sad,0.092,0.505,5.273,142.603,2.859,-0.474,0.288,-0.44,0.399,-0.336,-0.14,0.102,-0.147,-0.106,0.324,-0.032,0.078,232.804,-0.086
sad,0.138,0.458,6.081,166.818,3,-0.197,0.343,-0.258,0.098,-0.303,-0.099,-0.241,-0.085,-0.184,-0.094,-0.214,-0.294,271.257,-0.122
sad,0.049,0.64,7.335,163.412,2.425,-0.329,0.745,-0.251,0.056,0.004,0.271,-0.189,-0.088,-0.477,-0.37,-0.045,0.079,13.121,-0.322
sad,0.159,0.528,5.636,168.642,2.448,-0.207,0.215,-0.356,-0.261,-0.25,0.044,0.083,0.1,0.123,0.079,0.031,0.041,392.964,0.12
sad,0.146,0.523,5.642,76.206,2.27,-0.959,0.696,-0.418,-0.144,0.138,0.071,0.037,-0.038,0.076,0.016,0.023,0.003,536.478,-0.165
sad,0.146,0.522,5.612,76.09,2.258,-0.947,0.697,-0.43,-0.122,0.116,0.089,0.019,-0.022,0.063,0.025,0.02,0.001,515.277,-0.155
sad,0.114,0.518,6.493,115.638,3.341,-0.588,0.42,0.353,0.373,0.277,0.306,0.11,-0.025,0.048,-0.064,-0.008,0.039,241.256,0.126
sad,0.058,0.527,6.4,115.529,3.293,-0.708,0.344,0.411,0.343,0.207,0.243,0.105,-0.06,-0.046,-0.096,0.029,0.006,59.152,0.159
sad,0.052,0.582,7.254,68.173,2.934,0.162,0.249,-0.034,0.311,0.112,0.197,-0.002,-0.105,0.354,0.059,0.193,0.132,56.706,0.033
sad,0.23,0.549,5.453,103.375,2.584,0.234,0.3,-0.263,-0.09,-0.119,0.086,0.168,0.232,0.101,-0.028,-0.143,-0.089,1323.155,0.24
sad,0.176,0.613,7.032,137.497,2.014,-0.17,0.119,0.129,0.402,0.263,0.028,-0.318,-0.254,-0.056,0.098,0.027,0.1,650.816,0.049
sad,0.176,0.572,7.835,97.748,3.039,0.808,0.55,0.196,0.08,0.084,0.099,0.127,-0.037,-0.085,0.034,-0.009,-0.013,535.701,-0.244
sad,0.052,0.491,10.012,114.614,3.385,-1.347,0.67,0.568,0.029,-0.043,0.089,-0.232,-0.621,-0.21,-0.196,0.172,-0.171,11.052,-0.284
sad,0.155,0.544,7.06,163.456,2.355,-0.492,0.207,-0.147,0.062,-0.024,0.177,0.172,0.196,-0.194,-0.162,-0.078,-0.102,647.591,0.034
sad,0.191,0.577,7.858,164.08,3.403,-0.445,0.698,-0.191,-0.034,0.095,0.11,0.254,0.016,-0.028,-0.309,-0.245,-0.39,522.966,0.208
sad,0.023,0.574,9.466,92.746,3.248,-0.104,0.329,-0.289,-0.087,0.183,0.116,-0.102,0.046,-0.066,0.043,0.052,-0.233,10.175,-0.101
sad,0.07,0.565,8.01,122.246,2.146,0.758,0.599,-0.084,0.044,0.155,-0.094,0.123,-0.127,-0.195,0.022,0.124,0.115,91.922,-0.089
sad,0.223,0.546,6.073,155.885,2.747,-0.198,0.083,0.032,0.056,0.026,-0.014,0.111,0.017,-0.081,-0.014,-0.123,-0.058,1344.517,-0.043
sad,0.106,0.559,7.986,104.271,2.774,0.1,0.993,0.176,0.029,-0.245,0.066,0.039,0.248,0.128,-0.074,0,0.164,254.121,0.344
sad,0.136,0.65,7.496,148.779,3.429,0.717,0.452,-0.021,0.144,0.088,-0.045,0.333,0.115,0.175,-0.007,0.154,0.284,201.434,-0.035
sad,0.096,0.639,5.918,114.38,2.339,-0.283,0.615,-0.006,0.501,-0.261,-0.027,0.091,0.295,0.049,0.049,0.205,0.136,224.485,0.261
sad,0.089,0.51,6.718,138.783,2.674,-0.6,0.235,0.133,0.498,0.193,0.217,0.118,-0.144,-0.077,0.261,0.355,0.06,220.103,0.373
sad,0.052,0.575,7.544,103.858,1.908,-0.076,-0.1,-0.373,-0.023,0.119,-0.033,0.023,-0.142,-0.179,-0.297,-0.079,0.003,50.36,0.037
sad,0.045,0.618,6.554,175.336,1.805,0.544,0.15,-0.049,0.148,0.122,0.175,0.152,-0.126,-0.171,0.057,0.069,0.049,51.816,0.139
sad,0.073,0.63,7.822,160.739,2.181,0.045,0.531,0.102,0.013,-0.173,-0.128,0.218,0.165,0.101,0.046,0.106,0.006,114.209,0.122
sad,0.044,0.582,6.168,183.367,2.62,0.894,0.714,0.242,0.461,0.309,-0.039,0.129,0.07,0.149,0.164,-0.003,-0.064,42.838,0.178
sad,0.11,0.622,7.863,187.003,2.81,0.406,0.311,0.098,0.038,-0.223,-0.146,-0.042,0.215,0.243,0.164,0.029,0.275,223.159,-0.249
sad,0.11,0.622,7.863,187.003,2.81,0.406,0.311,0.098,0.038,-0.223,-0.146,-0.042,0.215,0.243,0.164,0.029,0.275,223.159,-0.249
sad,0.246,0.605,6.965,106.127,2.504,0.01,0.531,-0.022,0.11,0.214,0.104,-0.049,-0.045,-0.069,-0.184,-0.049,0.111,1187.979,0.004
sad,0.205,0.517,5.754,136.335,2.151,-0.397,1.109,-0.035,0.21,0.063,0.252,0.004,0.059,0.126,-0.085,-0.029,-0.044,702.507,0.062
sad,0.122,0.531,6.383,151.399,2.969,-0.848,0.196,-0.481,-0.044,-0.168,-0.007,-0.047,-0.093,-0.029,0.037,0.057,0.175,390.078,0.429
sad,0.144,0.604,8.417,187.111,2.182,1.152,0.757,0.123,0.434,0.619,0.326,0.175,-0.055,0.147,-0.011,-0.048,-0.151,367.476,0.142
sad,0.105,0.585,9.276,124.133,2.669,0.985,0.155,0.016,0.454,0.03,0.329,0.103,0.248,0.099,0.216,0.268,0.295,82.101,-0.111
sad,0.121,0.565,7.33,175.096,3.928,0.233,0.282,0.317,0.214,-0.105,-0.145,0.23,0.359,-0.089,0.249,0.031,-0.138,236.45,0.004
sad,0.053,0.604,6.453,104.62,5.354,-0.939,0.148,-0.683,-0.494,-0.195,0.13,0.243,0.208,-0.384,-0.433,-0.152,0.098,31.732,-0.099
sad,0.097,0.542,15.547,65.153,1.955,-0.309,1.096,0.213,0.281,0.152,0.117,0.188,0.209,0.307,-0.048,-0.098,-0.207,133.067,-0.331
sad,0.08,0.527,4.931,161.241,2.167,-0.242,0.314,-0.204,0.124,-0.03,0.035,-0.089,0.026,0.129,0.067,0.144,0.219,167.346,-0.126
sad,0.168,0.609,6.495,100.96,2.44,-0.128,0.547,0.098,0.296,0.071,0.055,0.056,-0.05,-0.155,-0.128,-0.106,-0.054,341.447,0.14
sad,0.131,0.552,10.261,151.685,1.708,0.729,0.831,0.334,0.258,0.08,0.111,0.171,0.356,0.169,0.012,-0.1,-0.119,266.97,0.382
sad,0.309,0.489,5.484,111.469,2.49,-0.07,0.535,0.097,0.236,0.116,0.152,0.239,0.05,-0.015,-0.286,-0.187,-0.074,1507.01,0.12
sad,0.024,0.546,6.502,108.972,2.796,-0.371,-0.199,-0.308,0.145,0.196,0.2,0.081,0.221,-0.184,-0.178,0.059,-0.052,12.698,0.208
sad,0.057,0.573,5.797,182.168,2.695,-0.666,0.094,-0.169,0.248,0.246,0.571,0.601,0.188,-0.278,-0.058,-0.052,-0.222,59.289,0.044
sad,0.097,0.565,6.657,104.424,2.632,0.081,0.684,-0.157,0.181,0.151,0.148,0.104,0.187,0.082,-0.221,-0.123,-0.129,222.96,-0.159
sad,0.125,0.601,8.618,102.582,1.676,0.759,0.714,0.081,-0.018,-0.012,-0.265,0.04,0.539,0.09,0.208,0.147,0.014,196.58,0.056
sad,0.212,0.534,5.555,67.947,2.67,0.108,0.535,0.15,0.032,0.266,0.098,-0.056,-0.168,-0.078,-0.174,-0.179,-0.044,842.403,0.121
sad,0.092,0.579,7.516,132.049,2.419,-0.35,0.359,0.319,0.436,0.474,0.319,0.043,0.008,-0.006,-0.081,-0.035,-0.015,143.049,0.123
sad,0.06,0.506,23.475,76.362,0.66,-0.465,-0.87,-1.093,0.262,-0.728,-0.936,-0.661,-0.249,0.393,0.494,0.129,-0.024,33.358,-0.027
sad,0.095,0.578,5.608,87.87,3.624,-0.365,0.824,-0.12,0.222,0.196,-0.047,-0.392,-0.46,-0.319,-0.196,0.121,0.25,145.312,0.196
sad,0.025,0.675,10.23,156.274,3.863,0.551,1.161,-0.014,0.082,-0.165,0.109,0.098,0.093,0.451,0.242,0.051,0.337,3.41,0.078
sad,0.102,0.531,5.942,103.733,2.79,-1.359,0.585,0.222,0.216,0.204,0.324,0.227,0.085,0.041,-0.114,0.113,-0.159,255.562,0.07
sad,0.106,0.552,6.569,72.148,2.336,0.106,0.861,0.121,0.363,-0.05,-0.072,-0.058,0.027,-0.039,-0.068,-0.01,-0.01,242.898,0.109
sad,0.151,0.603,7.256,86.176,2.98,0.044,0.224,0.094,0.172,0.286,0.011,0.125,0.042,0.082,-0.021,0.079,0.161,363.952,-0.023
sad,0.033,0.579,8.254,177.7,2.663,-0.124,0.095,-0.283,0.13,0.131,-0.004,0.339,0.2,0.104,-0.02,0.205,0.171,15.361,-0.114
sad,0.107,0.492,7.463,153.233,1.733,1.068,0.567,0.11,0.296,-0.129,0.11,0.266,0.01,0.308,0.157,0.137,0.062,288.278,0.243
sad,0.094,0.601,7.312,182.164,2.865,0.525,0.373,-0.041,0.106,-0.075,0.191,0.271,0.367,0.216,0.338,0.008,0.031,151.488,-0.272
sad,0.205,0.517,5.754,136.335,2.151,-0.397,1.109,-0.035,0.21,0.063,0.252,0.004,0.059,0.126,-0.085,-0.029,-0.044,702.507,0.062
sad,0.083,0.522,6.723,103.759,2.452,0.256,0.371,0.139,0.404,0.232,0.028,0.071,0.055,-0.12,0.393,0.261,0.177,88.762,0.004
sad,0.064,0.588,7.704,101.169,2.334,0.465,0.447,-0.362,0.249,-0.066,-0.124,0.384,0.134,0.25,0.098,0.147,0.078,49.544,0.177
angry,0.135,0.578,4.88,163.585,1.697,0.358,0.591,0.474,0.125,0.2,0.19,0.061,0.013,0.039,0.073,-0.064,0.02,356.833,-0.071
angry,0.182,0.672,6.116,100.376,2.557,0.339,0.32,0.086,0.144,0.001,0.228,-0.014,0.167,0.128,0.062,0.035,0.09,518.076,0.098
angry,0.087,0.59,5.774,134.806,2.275,0.054,0.379,-0.054,0.116,0.026,0.07,-0.028,0.017,-0.086,-0.014,0.006,-0.035,254.987,0.257
angry,0.431,0.302,7.311,153.212,0.634,0.173,0.152,0.069,0.124,0.069,0.094,0.102,0.073,-0.024,-0.037,-0.009,0.069,644.802,-0.032
angry,0.217,0.541,4.744,125.005,2.473,-0.218,0.259,0.147,0.282,0.227,0.094,-0.065,-0.018,0.072,0.064,-0.033,0.042,1382.163,0.051
angry,0.145,0.431,5.327,184.036,2.252,0.7,0.479,-0.027,0.006,0.018,0.17,-0.111,-0.082,0.038,0.114,-0.069,0.014,750.108,-0.038
angry,0.269,0.499,9.074,113.577,2.334,0.584,0.207,0.161,0.195,0.138,0.056,-0.053,0.085,0.067,0.09,0.064,0.065,1558.145,0.004
angry,0.14,0.585,5.864,99.864,2.841,-0.209,0.498,0.223,0.375,0.213,0.094,-0.027,0.08,-0.019,0.053,0.103,0.105,532.739,0.003
angry,0.112,0.321,4.776,153.016,1.318,-0.088,0.466,-0.05,0.211,0.17,0.191,0.13,-0.024,-0.051,0.166,-0.057,0.189,113.986,0.226
angry,0.193,0.538,4.178,107.653,1.703,-0.141,0.873,-0.296,0.558,0.377,-0.079,0.16,-0.002,0.034,0.214,0.105,0.146,845.899,0.211
angry,0.293,0.535,6.218,100.205,1.863,0.453,0.804,0.152,0.239,0.124,0.318,0.091,0.143,0.141,0.129,0.07,0.059,2152.376,0
angry,0.2,0.537,6.246,118.921,2.769,0.633,1.622,0.395,-0.352,-0.177,0.297,-0.205,0.477,-0.111,-0.279,0.202,-0.042,1078.431,-0.029
angry,0.11,0.619,5.495,66.632,2.581,-0.51,0.407,0.117,0.205,-0.084,0.105,0.163,0.118,-0.067,-0.138,-0.022,-0.047,231.48,0.046
angry,0.213,0.5,4.779,151.053,2.078,0.37,0.787,0.17,0.121,0.167,0.255,0.071,0.055,0.016,0.034,0.018,0.023,959.982,-0.001
angry,0.085,0.586,4.688,78.442,2.075,0.121,0.713,0.041,0.209,0.135,0.147,-0.009,0.004,-0.004,-0.166,-0.112,-0.075,197.892,-0.029
angry,0.184,0.482,5.617,121.651,2.078,0.01,0.551,0.067,0.206,0.16,0.083,0.034,0.039,0.045,0.034,-0.009,0.013,1161.827,-0.225
angry,0.113,0.566,4.515,161.026,2.705,0.093,0.428,0.102,0.151,0.018,0.051,-0.037,-0.012,0.009,-0.013,0.015,-0.017,364.836,0.064
angry,0.206,0.523,6.352,186.914,2.483,0.26,0.531,0.241,0.265,0.022,0.025,-0.18,-0.034,0.01,0.02,0.067,0.027,1324.405,0.111
angry,0.143,0.577,6.009,79.222,2.585,0.266,0.639,0.224,0.228,0.052,0.123,-0.093,-0.001,-0.033,0.004,0.03,0.109,499.446,-0.296
angry,0.112,0.57,5.105,130.607,2.436,-0.223,0.993,0.063,0.13,0.246,0.277,0.048,0.014,-0.052,-0.026,-0.074,0.06,377.712,0.174
angry,0.106,0.432,17.599,130.007,2.826,0.614,0.576,0.079,0.003,-0.037,0.092,0.102,0.132,0.014,-0.018,-0.06,-0.133,329.488,0.385
angry,0.192,0.472,6.674,120.185,2.109,-0.157,0.349,0.046,0.232,0.138,0.138,-0.124,0.068,0.075,-0.02,0.001,0.081,1116.048,0.01
angry,0.173,0.576,4.914,105.803,1.949,0.291,0.443,0.225,0.277,0.127,0.098,-0.06,0.055,0.103,0.005,-0.095,-0.073,804.745,-0.168
angry,0.198,0.485,4.966,104.43,1.622,0.47,0.617,0.026,0.333,0.182,0.098,-0.03,-0.019,0.09,0.062,-0.041,0.073,933.083,-0.245
angry,0.109,0.541,3.58,130.172,2.512,0.502,-0.133,-0.116,0.369,0.112,-0.138,-0.25,-0.086,-0.143,0.116,0.139,0.214,420.952,-0.242
angry,0.059,0.494,5.17,180.931,1.947,0.3,0.251,0.035,0.105,0.006,0.142,-0.056,0.164,-0.038,0.147,-0.013,-0.035,109.303,-0.243
